action	current_path	proposed_path	note
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd3/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd3/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd4		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd4/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/cd4/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_audio_www_irlanguage.com]/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_pdf.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_pdf_www_irlanguage.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_pdf_www_irlanguage.com]/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/assimil/assimil_dutch_pdf_www_irlanguage.com]/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/pimsleur		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/dutch/pimsleur/pimsleur_dutch_i.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/assimil		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/assimil/assimil_french_audio.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/assimil/assimil_french_pdf.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/assimil/assimil_using_french_audio.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/assimil/assimil_using_french_pdf.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/glossika		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/glossika/french_complete_fluency_course_2014_part1.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/glossika/french_complete_fluency_course_2014_part2.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/glossika/french_complete_fluency_course_2014_part3.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur/pimsleur_french_5.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur/pimsleur_french_i.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur/pimsleur_french_ii.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur/pimsleur_french_iii.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/french/pimsleur/pimsleur_french_plus_iv.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/assimil		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/assimil/assimil_german_pdf.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/assimil/assimil_german_with_ease.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika/glossika_german_part1.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika/glossika_german_part2.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika/glossika_german_part3.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika/glossika_german_part4.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/glossika/glossika_german_part5.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/pimsleur_german_4.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/pimsleur_german_i.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/pimsleur_german_ii.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/pimsleur_german_iii.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/swiss_german		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german/pimsleur/swiss_german/pimsleur_swiss_german.rar		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf_www_irlanguage.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf_www_irlanguage.com]/assimil_german_pdf.pdf		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf_www_irlanguage.com]/irlanguage_com.jpg		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf_www_irlanguage.com]/irlanguage_com.url		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_pdf_www_irlanguage.com]/read_me.txt		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/01_track_1.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/02_track_2.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/03_track_3.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/04_track_4.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/05_track_5.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/06_track_6.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/07_track_7.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/08_track_8.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/09_track_9.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/10_track_10.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/11_track_11.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/12_track_12.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/13_track_13.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/14_track_14.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/15_track_15.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/16_track_16.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/17_track_17.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/18_track_18.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/19_track_19.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/20_track_20.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/21_track_21.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/22_track_22.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/23_track_23.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/24_track_24.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/25_track_25.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_1_lessons_1_26/26_track_26.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/01_track_1.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/02_track_2.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/03_track_3.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/04_track_4.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/05_track_5.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/06_track_6.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/07_track_7.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/08_track_8.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/09_track_9.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/10_track_10.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/11_track_11.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/12_track_12.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/13_track_13.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/14_track_14.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/15_track_15.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/16_track_16.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/17_track_17.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/18_track_18.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/19_track_19.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/20_track_20.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/21_track_21.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/22_track_22.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/23_track_23.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/24_track_24.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/25_track_25.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_2_lessons_27_52/26_track_26.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/01_track_1.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/02_track_2.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/03_track_3.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/04_track_4.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/05_track_5.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/06_track_6.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/07_track_7.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/08_track_8.wma		needs human decision
FLAG	/media/arash/Transcend-Arash/05_Language/_junk/fme_method/german_unzipped/assimil_german_with_ease_www_vatandownload.com]/assimil_german_with_ease/cd_3_lessons_53_76/09_track_9.wma		needs human decision
